property_id,date_obtained,price,property_type,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_rooms,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_dining_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,floor_number,total_floors,property_size,flood_zone_type,cadastral_income
11151251,16052024,198000,HOUSE,100.0,FUELOIL,,,,,2,1.0,True,,,,True,14.0,True,70.0,F,817.0,9041,51.1027498,3.7725302,1933.0,TO_RENOVATE,,,183.0,NON_FLOOD_ZONE,287
11376922,18052024,385000,APARTMENT,86.0,GAS,False,True,9.0,1.0,1,,False,,,,True,16.0,,,C,269.0,9000,51.0552522,3.7273442,,GOOD,,4.0,,NON_FLOOD_ZONE,805
11376922,16052024,385000,APARTMENT,86.0,GAS,False,True,9.0,1.0,1,,False,,,,True,16.0,,,C,269.0,9000,51.0552522,3.7273442,,GOOD,,4.0,,NON_FLOOD_ZONE,805
11383679,18052024,419000,APARTMENT,80.0,GAS,,True,,1.0,1,1.0,False,,,,True,10.0,,,B,182.0,9000,51.0552522,3.7273442,,JUST_RENOVATED,,3.0,,NON_FLOOD_ZONE,0
11383679,16052024,419000,APARTMENT,80.0,GAS,,True,,1.0,1,1.0,False,,,,True,10.0,,,B,182.0,9000,51.0552522,3.7273442,,JUST_RENOVATED,,3.0,,NON_FLOOD_ZONE,0
11385748,18052024,99000,APARTMENT,13.0,,False,,20.0,2.0,7,2.0,False,,,,,,,,A,99.0,9040,51.0605379,3.7444725,,JUST_RENOVATED,,3.0,,,0
11385748,16052024,99000,APARTMENT,13.0,,False,,20.0,2.0,7,2.0,False,,,,,,,,A,99.0,9040,51.0605379,3.7444725,,JUST_RENOVATED,,3.0,,,0
11388639,18052024,350000,HOUSE,153.0,GAS,,,,2.0,4,,False,,,,,,True,60.0,C,224.0,9030,51.0696845,3.6854617,1933.0,GOOD,,,150.0,,555
11388639,16052024,350000,HOUSE,153.0,GAS,,,,2.0,4,,False,,,,,,True,60.0,C,224.0,9030,51.0696845,3.6854617,1933.0,GOOD,,,150.0,,555
11359790,16052024,325000,APARTMENT,85.0,GAS,False,True,,1.0,2,1.0,False,,,,True,,,,B,169.0,9040,51.0639794,3.7520279,1954.0,AS_NEW,,,,NON_FLOOD_ZONE,0
11385542,18052024,415000,HOUSE,135.0,GAS,False,True,1.0,1.0,3,,True,,,,,,True,60.0,C,245.0,9040,51.0634447,3.7578316,1912.0,GOOD,,3.0,120.0,NON_FLOOD_ZONE,0
11385542,16052024,415000,HOUSE,135.0,GAS,False,True,1.0,1.0,3,,True,,,,,,True,60.0,C,245.0,9040,51.0634447,3.7578316,1912.0,GOOD,,3.0,120.0,NON_FLOOD_ZONE,0
11027794,18052024,450000,HOUSE,180.0,GAS,,True,,1.0,4,2.0,False,,,,,,,,C,220.0,9041,51.1050173,3.7664636,1989.0,,,,490.0,NON_FLOOD_ZONE,1006
11027794,16052024,450000,HOUSE,180.0,GAS,,True,,1.0,4,2.0,False,,,,,,,,C,220.0,9041,51.1050173,3.7664636,1989.0,,,,490.0,NON_FLOOD_ZONE,1006
11392501,18052024,320000,APARTMENT,74.0,GAS,,True,,1.0,1,1.0,True,,,True,,,,,B,122.0,9000,51.0303541,3.7125802,1960.0,GOOD,,2.0,,NON_FLOOD_ZONE,919
11358484,18052024,319000,APARTMENT,95.0,GAS,False,True,9.0,1.0,2,,True,True,,,True,,,,A,75.0,9041,51.0930657,3.7583353,2012.0,GOOD,,2.0,,NON_FLOOD_ZONE,824
11358484,16052024,319000,APARTMENT,95.0,GAS,False,True,9.0,1.0,2,,True,True,,,True,,,,A,75.0,9041,51.0930657,3.7583353,2012.0,GOOD,,2.0,,NON_FLOOD_ZONE,824
11362983,18052024,347000,APARTMENT,67.0,GAS,,,,1.0,1,,False,,,,True,12.0,,,A,73.0,9000,51.0509732,3.7012871,2019.0,AS_NEW,,,,,898
11362983,16052024,347000,APARTMENT,67.0,GAS,,,,1.0,1,,False,,,,True,12.0,,,A,73.0,9000,51.0509732,3.7012871,2019.0,AS_NEW,,,,,898
11331278,18052024,460000,HOUSE,167.0,,,,,1.0,4,2.0,False,,True,,True,35.0,True,93.0,B,130.0,9032,51.0830475,3.712351,2012.0,AS_NEW,,2.0,225.0,NON_FLOOD_ZONE,918
11331278,16052024,460000,HOUSE,167.0,,,,,1.0,4,2.0,False,,True,,True,35.0,True,93.0,B,130.0,9032,51.0830475,3.712351,2012.0,AS_NEW,,2.0,225.0,NON_FLOOD_ZONE,918
