,property_id,date_obtained,price,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,property_size,flood_zone_type,cadastral_income,age,price_sq,property_type_HOUSE
40917,11202267,2024-05-19,299.0,210.0,Unknown,False,False,2.0,4.0,2.0,False,False,False,False,0.0,False,0.0,B,246.0,9000,51.0752151,3.7330712,1920.0,Unknown,86.0,NON_FLOOD_ZONE,759.0,104.0,1.4238095238095239,True
88579,11340110,2024-05-19,1375.0,313.0,Unknown,False,True,1.0,2.0,2.0,False,False,True,True,19.0,False,0.0,A,74.0,9000,51.0573296,3.7071006,1977.0,AS_NEW,,NON_FLOOD_ZONE,1360.0,47.0,4.39297124600639,False
6004,11362762,2024-05-19,479.0,168.0,Unknown,False,True,2.0,4.0,2.0,False,False,False,True,18.0,True,126.0,A+,43.0,9032,51.0857731,3.7039566,2024.0,Unknown,331.0,NON_FLOOD_ZONE,1027.0,0.0,2.8511904761904763,True
94518,11348182,2024-05-19,449.0,105.0,FUELOIL,False,True,1.0,2.0,1.0,False,False,True,True,0.0,False,0.0,C,243.0,9000,51.0421494,3.7335578,1969.0,JUST_RENOVATED,,Unknown,1076.0,55.0,4.276190476190476,False
51026,11367008,2024-05-19,1498.0,530.0,GAS,True,False,2.0,3.0,2.0,True,True,False,True,0.0,False,0.0,C,289.0,9031,51.0441405,3.6129046,1989.0,GOOD,6460.0,NON_FLOOD_ZONE,3092.0,35.0,2.8264150943396227,True
93646,11348185,2024-05-19,575.0,203.0,GAS,False,True,2.0,4.0,3.0,False,False,True,False,0.0,True,25.0,B,134.0,9000,51.0713419,3.6935327,1955.0,JUST_RENOVATED,114.0,NON_FLOOD_ZONE,676.0,69.0,2.832512315270936,True
82546,11196961,2024-05-19,88.0,78.0,Unknown,False,False,1.0,4.0,1.0,True,False,False,False,0.0,False,0.0,F,968.0,9000,51.0598546,3.6998705,,TO_RENOVATE,64.0,Unknown,213.0,,1.1282051282051282,True
72675,11378663,2024-05-19,443.25,104.0,Unknown,False,True,1.0,3.0,2.0,True,False,False,True,14.0,False,0.0,A,49.0,9050,51.0458187,3.7568734,2020.0,AS_NEW,,NON_FLOOD_ZONE,907.0,4.0,4.262019230769231,False
29484,11335918,2024-05-19,349.0,63.0,Unknown,False,True,1.0,2.0,1.0,True,False,True,False,0.0,False,0.0,B,135.0,9000,51.0396586,3.7006324,,Unknown,0.0,NON_FLOOD_ZONE,834.0,,5.5396825396825395,True
46870,11362866,2024-05-19,339.0,94.0,GAS,False,False,1.0,2.0,1.0,False,False,False,True,14.0,True,36.0,B,132.0,9040,51.0471049,3.7536179,2015.0,AS_NEW,,Unknown,917.0,9.0,3.606382978723404,False
30957,11340146,2024-05-19,1375.0,313.0,Unknown,False,True,1.0,2.0,2.0,False,False,True,True,19.0,False,0.0,A,74.0,9000,51.0573296,3.7071006,1977.0,AS_NEW,62.0,NON_FLOOD_ZONE,1360.0,47.0,4.39297124600639,True
4385,11372964,2024-05-19,189.0,109.0,Unknown,False,False,1.0,3.0,1.0,False,False,False,False,0.0,False,0.0,E,423.0,9000,51.0657026,3.7076617,,TO_BE_DONE_UP,55.0,Unknown,371.0,,1.7339449541284404,True
30086,11394799,2024-05-19,495.0,161.0,GAS,True,True,1.0,3.0,2.0,False,True,False,True,0.0,True,130.0,B,113.0,9040,51.0535363,3.761676,2012.0,Unknown,270.0,NON_FLOOD_ZONE,1051.0,12.0,3.0745341614906834,True
10570,11351523,2024-05-19,350.0,137.0,GAS,False,True,1.0,4.0,1.0,True,False,True,True,5.0,False,0.0,C,237.0,9000,51.0691833,3.7061407,1945.0,JUST_RENOVATED,78.0,NON_FLOOD_ZONE,835.0,79.0,2.5547445255474455,True
260,11362707,2024-05-19,563.0,187.0,Unknown,False,True,1.0,4.0,1.0,True,False,True,False,0.0,False,0.0,B,172.0,9000,51.0269153,3.7070207,1954.0,GOOD,230.0,Unknown,937.0,70.0,3.0106951871657754,True
124528,11311816,2024-05-19,330.0,84.0,Unknown,False,False,1.0,2.0,1.0,False,False,False,True,9.0,False,0.0,C,243.0,9000,51.0506584,3.731777,1939.0,GOOD,,Unknown,725.0,85.0,3.9285714285714284,False
20852,11368325,2024-05-19,370.0,136.0,GAS,False,False,1.0,4.0,1.0,False,False,False,True,25.0,True,145.0,C,290.0,9820,51.0187458,3.7611501,1951.0,GOOD,240.0,Unknown,523.0,73.0,2.7205882352941178,True
