property_id,date_obtained,price,property_type,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_rooms,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_dining_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,floor_number,total_floors,property_size,flood_zone_type,cadastral_income
11369604,19052024,315000,APARTMENT,45.0,,True,True,6.0,1.0,1,1.0,False,,,,,,,,A,,9000,51.0563179,3.7138562,2025.0,GOOD,,3.0,,,0
10808129,19052024,631261,HOUSE,164.0,GAS,True,True,15.0,1.0,3,2.0,False,,,,,,,,,,9050,,,,GOOD,,,553.0,,0
11161534,21052024,398000,HOUSE,178.0,GAS,False,True,10.0,1.0,4,,False,,,,,,True,121.0,D,304.0,9000,51.0300741,3.7233209,,GOOD,,,121.0,NON_FLOOD_ZONE,409
11161534,19052024,398000,HOUSE,178.0,GAS,False,True,10.0,1.0,4,,False,,,,,,True,121.0,D,304.0,9000,51.0300741,3.7233209,,GOOD,,,121.0,NON_FLOOD_ZONE,409
11392200,18052024,347500,APARTMENT,92.0,,False,True,12.0,1.0,2,1.0,False,,,,,,,,C,217.0,9000,51.0548564,3.7333124,1981.0,TO_BE_DONE_UP,,6.0,,NON_FLOOD_ZONE,0
11392200,21052024,347500,APARTMENT,92.0,,False,True,12.0,1.0,2,1.0,False,,,,,,,,C,217.0,9000,51.0548564,3.7333124,1981.0,TO_BE_DONE_UP,,6.0,,NON_FLOOD_ZONE,0
11392200,19052024,347500,APARTMENT,92.0,,False,True,12.0,1.0,2,1.0,False,,,,,,,,C,217.0,9000,51.0548564,3.7333124,1981.0,TO_BE_DONE_UP,,6.0,,NON_FLOOD_ZONE,0
11368510,18052024,375000,HOUSE,123.0,GAS,,True,,1.0,2,2.0,False,,True,True,True,,,,E,445.0,9031,51.0562145,3.6495018,1957.0,TO_BE_DONE_UP,,,0.0,,649
11368510,16052024,375000,HOUSE,123.0,GAS,,True,,1.0,2,2.0,False,,True,True,True,,,,E,445.0,9031,51.0562145,3.6495018,1957.0,TO_BE_DONE_UP,,,619.0,,649
11368510,21052024,375000,HOUSE,123.0,GAS,,True,,1.0,2,2.0,False,,True,True,True,,,,E,445.0,9031,51.0562145,3.6495018,1957.0,TO_BE_DONE_UP,,,0.0,,649
11368510,19052024,375000,HOUSE,123.0,GAS,,True,,1.0,2,2.0,False,,True,True,True,,,,E,445.0,9031,51.0562145,3.6495018,1957.0,TO_BE_DONE_UP,,,0.0,,649
11392456,18052024,795000,APARTMENT,321.0,GAS,,True,,2.0,4,4.0,False,,,,,,,,C,255.0,9000,51.0605258,3.7260397,,TO_BE_DONE_UP,,3.0,,NON_FLOOD_ZONE,0
11392456,21052024,795000,APARTMENT,321.0,GAS,,True,,2.0,4,4.0,False,,,,,,,,C,255.0,9000,51.0605258,3.7260397,,TO_BE_DONE_UP,,3.0,,NON_FLOOD_ZONE,0
11392456,19052024,795000,APARTMENT,321.0,GAS,,True,,2.0,4,4.0,False,,,,,,,,C,255.0,9000,51.0605258,3.7260397,,TO_BE_DONE_UP,,3.0,,NON_FLOOD_ZONE,0
11335786,19052024,259000,APARTMENT,60.0,,,True,1.0,1.0,1,1.0,True,,,,True,,,,B,147.0,9000,51.0458735,3.7218867,1975.0,TO_BE_DONE_UP,,,,NON_FLOOD_ZONE,855
11335918,19052024,349000,HOUSE,63.0,,,True,1.0,1.0,2,1.0,True,,,True,,,,,B,135.0,9000,51.0396586,3.7006324,,,,1.0,0.0,NON_FLOOD_ZONE,0
11347504,19052024,990000,APARTMENT,212.0,,,True,,1.0,2,2.0,True,,,,True,24.0,,,A,91.0,9000,51.0400196,3.7397811,2012.0,AS_NEW,,,,,0
11325184,18052024,419000,APARTMENT,130.0,GAS,,True,,1.0,3,1.0,False,True,,,,,,,C,270.0,9000,51.044864,3.7341966,1999.0,GOOD,,,,NON_FLOOD_ZONE,852
